side,ref,value,footprint,lcsc,role,pop
R,LED11,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED12,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED13,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED14,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED15,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED16,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED17,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED18,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED19,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED2,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED20,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED21,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED22,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED23,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED24,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED25,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED26,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED27,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED28,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED29,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
R,LED3,SK6812MINI-E,LED-SMD_L3.2-W2.8-TR,,LED (no-LED->DNP),DNP
